,test_size,unanswed,high_conf,badness,p1,p2,false_positives,accuracy,auc,c@1,final_score,corpus,classif,vec,shifter
73,96,4,72,11.321824500941602,0.2765,0.35696,7,0.90625,0.9704861111111112,0.9223090277777778,0.8950881016107254,du_essays,"BDI, Cosine "," 2,3,4-grams ", fitted
74,50,11,38,20.808474459323094,0.11,0.89,0,0.66,0.6864,0.5856,0.40195584,du_reviews,"BDI, Cosine "," 2,3,4-grams ", manual
75,50,0,38,18.85499891197402,0.053,0.06194,3,0.64,0.756,0.64,0.48384,du_reviews,"BDI, Cosine "," 2,3,4-grams ", fitted
76,200,31,160,89.81249714093508,0.11,0.89,0,0.575,0.6063500000000001,0.537075,0.32565542625,en_essays,"BDI, Cosine "," 2,3,4-grams ", manual
77,200,1,163,88.27354163302508,0.07982,0.08876,10,0.58,0.5947,0.577875,0.34366226250000004,en_essays,"BDI, Cosine "," 2,3,4-grams ", fitted
78,200,29,161,87.86492847337752,0.11,0.89,1,0.6,0.6238999999999999,0.555325,0.3464672674999999,en_novels,"BDI, Cosine "," 2,3,4-grams ", manual
79,200,9,161,82.33040680972238,0.053,0.11558,6,0.6,0.6304000000000001,0.6061,0.38208544,en_novels,"BDI, Cosine "," 2,3,4-grams ", fitted
80,100,45,54,31.18502097253661,0.11,0.89,1,0.81,0.8712,0.6815000000000001,0.5937228000000001,gr_articles,"BDI, Cosine "," 2,3,4-grams ", manual
81,100,23,53,29.524632679272635,0.16922,0.69668,4,0.78,0.8744,0.7626000000000001,0.66681744,gr_articles,"BDI, Cosine "," 2,3,4-grams ", fitted
82,100,40,53,29.064658275833857,0.11,0.89,1,0.75,0.8612000000000001,0.77,0.663124,sp_articles,"BDI, Cosine "," 2,3,4-grams ", manual
83,100,6,51,24.915569079623754,0.053,0.19604,19,0.73,0.9099999999999999,0.7632,0.6945119999999999,sp_articles,"BDI, Cosine "," 2,3,4-grams ", fitted
84,96,19,73,14.559658212198066,0.11,0.89,2,0.8541666666666666,0.955078125,0.9233940972222221,0.8819135030110676,du_essays,"BDI, Cosine "," 2,3,4,5-grams ", manual
85,96,5,73,11.894532460339981,0.34802,0.5894,5,0.90625,0.962673611111111,0.9205729166666666,0.8862112539785879,du_essays,"BDI, Cosine "," 2,3,4,5-grams ", fitted
86,50,10,38,22.571590230997902,0.11,0.89,0,0.56,0.6656000000000001,0.552,0.36741120000000005,du_reviews,"BDI, Cosine "," 2,3,4,5-grams ", manual
87,50,0,37,21.455755328507294,0.07088,0.0977,6,0.54,0.6976,0.54,0.37670400000000004,du_reviews,"BDI, Cosine "," 2,3,4,5-grams ", fitted
88,200,25,163,88.5292451523168,0.11,0.89,0,0.585,0.6153,0.55125,0.339184125,en_essays,"BDI, Cosine "," 2,3,4,5-grams ", manual
89,200,5,167,86.44489281372223,0.06194,0.0977,6,0.595,0.5748,0.599625,0.34466444999999996,en_essays,"BDI, Cosine "," 2,3,4,5-grams ", fitted
90,200,26,162,87.2217797656385,0.11,0.89,1,0.59,0.6257,0.5537,0.34645009,en_novels,"BDI, Cosine "," 2,3,4,5-grams ", manual
91,200,3,161,82.32320445341325,0.053,0.06194,9,0.615,0.61675,0.614075,0.37873075625,en_novels,"BDI, Cosine "," 2,3,4,5-grams ", fitted
92,100,37,58,31.316047072299344,0.11,0.89,3,0.79,0.8504,0.6713,0.57087352,gr_articles,"BDI, Cosine "," 2,3,4,5-grams ", manual
93,100,1,57,24.46197757033953,0.07982,0.16922,10,0.79,0.877,0.7878000000000001,0.6909006000000001,gr_articles,"BDI, Cosine "," 2,3,4,5-grams ", fitted
94,100,40,52,28.71082512886246,0.11,0.89,1,0.75,0.867,0.77,0.66759,sp_articles,"BDI, Cosine "," 2,3,4,5-grams ", manual
95,100,14,52,22.807964165530947,0.07088,0.33908,9,0.73,0.9308,0.8322,0.77461176,sp_articles,"BDI, Cosine "," 2,3,4,5-grams ", fitted
